tipo_aviso,tipo_orden,area,planta,fecha,costo_total,trabajo_real
breakdown,CO2,AR-1,PL-1,2018-02-05,4367876.0,27.5
breakdown,CO2,AR-1,PL-2,2017-05-08,4486302.0,2.0
breakdown,CO2,AR-1,PL-5,2018-07-09,29466165.11,3.1
breakdown,CO2,AR-1,PL-6,2017-03-27,159861.33,3.0
breakdown,CO2,AR-1,PL-6,2017-04-10,319722.67,4.3
breakdown,CO2,AR-1,PL-6,2018-03-26,37404.0,34.5
breakdown,CO2,AR-1,PL-6,2018-07-09,638590.0,4.0
breakdown,CO2,AR-1,PL-6,2018-09-24,582930.0,1.0
breakdown,CO2,AR-10,PL-5,2017-01-16,2859660.1300000004,21.0
breakdown,CO2,AR-10,PL-5,2017-01-30,3567902.4,5.0
breakdown,CO2,AR-10,PL-5,2017-02-06,70660.0,1.0
breakdown,CO2,AR-10,PL-5,2017-03-06,32725.0,2.0
breakdown,CO2,AR-10,PL-5,2017-03-13,116600.0,14.0
breakdown,CO2,AR-10,PL-5,2017-04-03,109229.2,109.0
breakdown,CO2,AR-10,PL-5,2017-05-01,4715566.77,267.5
breakdown,CO2,AR-10,PL-5,2017-05-08,1109501.92,86.0
breakdown,CO2,AR-10,PL-5,2017-05-22,18696.01,49.2
breakdown,CO2,AR-10,PL-5,2017-05-29,1072936.22,31.5
breakdown,CO2,AR-10,PL-5,2017-06-05,549687.92,23.5
breakdown,CO2,AR-10,PL-5,2017-06-19,2075357.59,7.6
breakdown,CO2,AR-10,PL-5,2017-07-03,9137060.86,297.0
breakdown,CO2,AR-10,PL-5,2017-07-17,374325.0,36.0
breakdown,CO2,AR-10,PL-5,2017-07-31,202696.01,112.5
breakdown,CO2,AR-10,PL-5,2017-08-28,6958.03,14.5
breakdown,CO2,AR-10,PL-5,2017-09-04,1361565.72,95.5
breakdown,CO2,AR-10,PL-5,2017-09-11,832177.87,30.0
breakdown,CO2,AR-10,PL-5,2017-10-02,34474.0,20.5
breakdown,CO2,AR-10,PL-5,2017-10-16,7021031.63,57.0
breakdown,CO2,AR-10,PL-5,2017-10-23,517991.17,12.0
breakdown,CO2,AR-10,PL-5,2017-10-30,237028.13999999998,97.5
breakdown,CO2,AR-10,PL-5,2018-01-01,22971530.12,53.5
breakdown,CO2,AR-10,PL-5,2018-01-22,68002.2,61.5
breakdown,CO2,AR-10,PL-5,2018-02-05,383754.36,16.5
breakdown,CO2,AR-10,PL-5,2018-03-05,5009639.7,16.0
breakdown,CO2,AR-10,PL-5,2018-03-12,14962680.74,242.0
breakdown,CO2,AR-10,PL-5,2018-03-19,483596.42,2.0
breakdown,CO2,AR-10,PL-5,2018-04-09,2563940.3200000003,17.0
breakdown,CO2,AR-10,PL-5,2018-04-16,2641117.0,9.0
breakdown,CO2,AR-10,PL-5,2018-04-23,1990080.0,31.0
breakdown,CO2,AR-10,PL-5,2018-04-30,18553965.529999997,142.0
breakdown,CO2,AR-10,PL-5,2018-05-07,105000.0,5.0
breakdown,CO2,AR-10,PL-5,2018-05-14,152000.0,9.0
breakdown,CO2,AR-10,PL-5,2018-05-28,9868851.969999999,12.0
breakdown,CO2,AR-10,PL-5,2018-06-04,321012.5,16.0
breakdown,CO2,AR-10,PL-5,2018-07-02,7531283.2700000005,88.5
breakdown,CO2,AR-10,PL-5,2018-07-09,233200.0,9.0
